English,Urdu_True,Urdu_Pred
he is in the joint,وہ مشترکہ میں ہے,وہ جوائنٹ میں ہے
the answer is right,جواب درست ہے,اس کا جواب درست ہے
get down,نیچے اترو,نیچے جاؤ
the water is clean,پانی صاف ہے,پانی صاف ہے
i think you start learning a new lesson,مجھے لگتا ہے کہ آپ ایک نیا سبق سیکھنا شروع کر دیں گے۔,مجھے لگتا ہے کہ آپ ایک نیا سبق سیکھنے شروع کر رہے ہیں۔
how did you find me,تم نے مجھے ڈھونڈا کیسے؟,تم نے مجھے کیسے تلاش کیا
everyone stood,سب کھڑے ہو گئے,سب کھڑے تھے
its not fair,یہ مناسب نہیں ہے,یہ منصفانہ نہیں ہے
i will be free,میں آزاد ہو جاؤں گا,میں آزاد رہوں گا
zain loved teaching,زین کو پڑھانے کا شوق تھا۔,زین کو سکھائی پسند تھی۔
were both fine,دونوں ٹھیک تھے,دونوں ٹھیک تھے
he is photogenic,وہ فوٹو جینک ہے,وہ فوٹو جینک ہے
i will do it,میں یہ کروں گا,میں کروں گا
lie on the couch,صوفے پر لیٹنا,سکوف پر لیٹ جاؤ
it fits perfectly,یہ بالکل فٹ بیٹھتا ہے,یہ بالکل ٹھیک فٹ بیٹھتا ہے
zain blamed mary,زین نے مریم پر الزام لگایا,زین نے مریم پر الزام لگایا
i found your cap,مجھے آپ کی ٹوپی مل گئی۔,مجھے آپ کی ٹوپی مل گئی۔
i wish i had a car,کاش میرے پاس گاڑی ہو,کاش میرے پاس گاڑی ہوتا
zain is a tall man,زین ایک لمبا آدمی ہے۔,زین ایک لمبا آدمی ہے۔
i care about that,میں اس کے بارے میں پرواہ,مجھے اس کی پرواہ ہے۔
zain likes surfing,زین کو سرفنگ پسند ہے۔,زین کو سرفنگ پسند ہے۔
the damage caused to the tourist industry is difficult to quantify,سیاحتی صنعت کو پہنچنے والے نقصان کا اندازہ لگانا مشکل ہے,سیاحوں کی صنعت کو ہونے والی نقصان کو کمیدہ کرنا مشکل ہے۔
zain has insomnia,زین کو بے خوابی ہے,زین کو بے نیند ہے۔
he lived a long life,اس نے ایک لمبی زندگی گزاری۔,اس نے ایک لمبی زندگی گزاری
are you happy now,تم اب خوش ہو,کیا آپ اب خوش ہیں
i am a college student,میں کالج کا طالب علم ہوں۔,میں کالج کا طالب علم ہوں۔
who fell,جو گر گیا,جو گر گیا
i cant hear you,میں آپ کو سن نہیں سکتا,میں آپ کو سن نہیں سکتا
dont forget to bring my book,میری کتاب لانا مت بھولنا,میری کتاب لانا نہ بھولیں۔
i was the only man,میں واحد آدمی تھا,میں واحد آدمی تھا۔
check that,اسے چیک کریں,اسے چیک کریں
wood burns,لکڑی جلتی ہے,لکڑی جلتی ہے
you are confusing me,آپ مجھے الجھا رہے ہیں۔,تم مجھے الجھا رہے ہو
you are untalented,آپ غیر باصلاحیت ہیں,آپ غیر باصلاحیت ہیں
i ruined everything,میں نے سب کچھ برباد کر دیا,میں نے سب کچھ برباد کر دیا
dont get fat,موٹا نہ ہو,موٹا نہ ہو
everyone was there,ہر کوئی وہاں تھا,وہاں سب تھے
zain will use force,زین طاقت کا استعمال کرے گا,زین طاقت کا استعمال کرے گا۔
it was on sale,یہ فروخت پر تھا,یہ فروخت پر تھا
welcome to australia,آسٹریلیا میں خوش آمدید,آسٹریلیا میں خوش آمدید
i live a simple life,میں ایک سادہ زندگی گزارتا ہوں,میں ایک سادہ زندگی گزارتا ہوں۔
zain is a socialist,زین ایک اشتراکی ہے,زین ایک سماجی پسند ہے
which to do,جو کرنا ہے,کون کرنا
i do not want to know anything,میں کچھ نہیں جاننا چاہتا,میں کچھ نہیں جاننا چاہتا
they will be back soon,وہ جلد ہی واپس آجائیں گے,وہ جلد ہی واپس آ جائیں گے
write tom,ٹام لکھیں,ٹام کو لکھیں
easy does it,یہ آسان ہے,آسان ہے؟
do you feel up to it,کیا آپ اس پر پورا بیٹھتے ہیں,کیا آپ اس کے ساتھ محسوس کرتے ہیں
zain is thirsty,زین پیاسا ہے,زین پیاسا ہے
zain is very calm,زین بہت پرسکون ہے,زین بہت پرسکون ہے۔
i had appreciate that,میں نے اس کی تعریف کی تھی,مجھے اس کی تعریف کرنی تھی۔
i have no neighbors,میرا کوئی پڑوسی نہیں ہے۔,میرا کوئی پڑوسی نہیں ہے۔
i can give it a try,میں اسے آزما سکتا ہوں۔,میں اسے آزما سکتا ہوں۔
is that normal,کیا یہ عام ہے؟,کیا یہ عام ہے؟
are you insane,کیا تم پاگل ہو,کیا تم پاگل ہو
i got it,میں سمجھ گیا,مجھے مل گیا
i have a table,میرے پاس ایک میز ہے,میرے پاس ایک میز ہے۔
zain hates his job,زین کو اپنے کام سے نفرت ہے۔,زین کو اپنا کام سے نفرت ہے۔
i expect much of him,میں اس سے بہت زیادہ توقع کرتا ہوں۔,میں اس سے زیادہ توقع کرتا ہوں۔
where can we buy it,ہم اسے کہاں سے خرید سکتے ہیں,ہم اسے کہاں سے خرید سکتے ہیں
which cold drinks do you have,آپ کے پاس کون سے کولڈ ڈرنکس ہیں؟,آپ کے پاس کون سے ٹھنڈے مشروب ہیں؟
just relax,پرسکون ہوجاؤ,آرام کرو
you have to start,آپ کو شروع کرنا ہوگا,آپ کو شروع کرنا ہوگا
she made him cry,اس نے اسے رونے پر مجبور کر دیا,اس نے اسے رلا د یا
did something happen,کیا کچھ ہوا,کیا کچھ ہوا؟
it matters to us,یہ ہمارے لئے اہم ہے,یہ ہمارے لئے اہم ہے
elephants live in asia and africa,ہاتھی ایشیا اور افریقہ میں پائے جاتے ہیں۔,آستین ایشیا اور ایشیا میں رہتی ہیں۔
we sell orange juice,ہم سنتری کا رس بیچتے ہیں۔,ہم سنترے کا جوس فروخت کرتے ہیں
he had lost all hope,اس نے تمام امیدیں کھو دی تھیں,اس نے تمام امیدیں کھو دی تھیں
he is the oldest son,وہ سب سے بڑا بیٹا ہے,وہ سب سے پرانا بیٹا ہے۔
are you a buddhist,کیا آپ بدھ مت کے پیروکار ہیں,کیا آپ بوڈhist ہیں؟
raise your hands,اپنے ہاتھ اٹھائیں,اپنے ہاتھ اٹھائیں
please beat the eggs,براہ کرم انڈوں کو پھینٹیں,براہ کرم انڈے کو شکست دیں
let zain live,زین کو جینے دو,زین کو جینے دو
i tried to scream,میں نے چیخنے کی کوشش کی۔,میں نے چیخنے کی کوشش کی۔
keep them,انھیں رکھو,انہیں رکھو
how about your place,آپ کی جگہ کے بارے میں کیا,آپ کے جگہ کے بارے میں کیا ہوگا
where is the embassy,سفارت خانہ کہاں ہے؟,سفارت خانہ کہاں ہے؟
why didnt zain come,زین کیوں نہیں آیا,زین کیوں نہیں آیا
we dont do that,ہم ایسا نہیں کرتے,ہم ایسا نہیں کرتے
maybe he was ill,شاید وہ بیمار تھا,شاید وہ بیمار تھا
i am okay,میں ٹھیک ہوں,میں ٹھیک ہوں
i like coffee,مجھے کافی پسند ہے,مجھے کافی پسند ہے
"please, show me the menu",براہ مہربانی، مجھے مینو دکھائیں,براہ مہربانی، مجھے مینو دکھائیں
i am years old,میں سال کا ہوں,میں سال کا ہوں
i can fly,میں اڑ سکتا ہوں,میں اڑ سکتا ہوں
i do not mind working on weekends,مجھے ہفتے کے آخر میں کام کرنے میں کوئی اعتراض نہیں ہے,مجھے ہفتے کے آخر میں کام کرنے میں کوئی اعتراض نہیں ہے۔
lambs are baby sheep,میمنے بچے بھیڑ ہیں,مینڈے بچے بھیڑے ہیں
the dictionary on the desk is mine,میز کے اوپر پڑی پوئی لغت میری ہے۔,میز پر کی لغت میری ہے
you are really funny,تم واقعی مضحکہ خیز ہیں,تم واقعی مضحکہ خیز ہو
zains packing,زین پیکنگ,زین پیکنگ
we made him cry,ہم نے اسے رلا دیا۔,ہم نے اسے رلا د یا
did somebody get hurt,کیا کسی کو تکلیف ہوئی؟,کیا کسی کو چوٹ لگی؟
i demand a refund,میں رقم کی واپسی کا مطالبہ کرتا ہوں۔,میں واپسی کا مطالبہ کرتا ہوں۔
i couldnt deny it,میں اس سے انکار نہیں کر سکتا تھا۔,میں اس سے انکار نہیں کر سکا
zain was talking,زین بول رہا تھا,زین بات کر رہا تھا
here have a drink,یہاں ایک مشروب ہے,یہاں ایک مشروب ہے
he is my type,وہ میری قسم ہے,وہ میری قسم کا ہے
this is not safe,یہ محفوظ نہیں ہے,یہ محفوظ نہیں ہے
when will we go home,ہم گھر کب جائیں گے,ہم کب گھر جائیں گے
whose baby is this,یہ بچہ کس کا ہے؟,یہ کس کا بچہ ہے
you have no messages,آپ کے پاس کوئی پیغامات نہیں ہیں۔,آپ کو کوئی پیغام نہیں ملا
zain is intelligent,زین ذہین ہے,زین ذہین ہے
how deep is lake biwa,جھیل بیوا کتنی گہری ہے,جھیل بیوا کتنی گہری ہے
i hate hypocrisy,مجھے منافقت سے نفرت ہے,مجھے منافقت سے نفرت ہے
thisll be fun,یہ مزہ آئے گا,یہ مزہ آئے گا
that is the bus stop,وہ بس اسٹاپ ہے۔,یہ بس اسٹاپ ہے
smoking stinks,تمباکو نوشی سے بدبو آتی ہے۔,تمباکو نوشی کی بدبو دار ہے
zain cooks for mary,زین مریم کے لیے کھانا پکاتا ہے۔,زین مریم کے لیے کھانا پکاتا ہے۔
did zain bite you,زین نے آپ کو کاٹا؟,زین نے آپ کو کاٹ دیا
i was moved,میں منتقل کر دیا گیا تھا,میں منتقل ہو گیا تھا
sara reads a novel every week,سارہ ہر ہفتے ایک ناول پڑھتی ہے۔,سارا ہر روز ایک ناول پڑھتا ہے۔
do you have any food,کیا آپ کے پاس کوئی کھانا ہے,کیا آپ کے پاس کوئی کھانا ہے
that woman must be his wife,میرا خیال ہے کہ وہ عورت اس کی پیوی ہے۔,اس عورت کو اس کی بیوی ہونا چاہیے۔
something's happened to tom,ٹام کے ساتھ کچھ ہوا ہے,ٹام کے ساتھ کچھ ہوا ہے۔
zain appears worried,زین پریشان دکھائی دیتا ہے۔,زین پریشان دکھائی دیتا ہے
i need a job,مجھے ایک نوکری کی ضرورت ہے,مجھے نوکری کی ضرورت ہے۔
are you going to sing,کیا آپ گانے جا رہے ہیں؟,کیا آپ گانے جا رہے ہیں؟
all our money is gone,ہمارے سارے پیسے ختم ہو گئے ہیں۔,ہمارے پاس سارا پیسہ چلا گیا ہے۔
zain grabbed a chair,زین نے کرسی پکڑلی,زین نے ایک کرسی پکڑی۔
what do i do next,میں آگے کیا کروں؟,میں آگے کیا کروں؟
watch tom,ٹام دیکھو,ٹام کو دیکھو
can i use this bike,کیا میں یہ بائیک استعمال کر سکتا ہوں؟,کیا میں یہ موٹر سائیکل استعمال کر سکتا ہوں؟
zain is on duty now,زین اب ڈیوٹی پر ہے۔,زین اب ڈیوٹی پر ہے
zain grimaced bravely,زین نے بہادری سے گھبرایا,زین نے بہادری سے مسکرا کر کہا
can you contact tom,کیا آپ ٹام سے رابطہ کر سکتے ہیں؟,کیا آپ ٹام سے رابطہ کر سکتے ہیں؟
i locked the door,میں نے دروازہ بند کر دیا۔,میں نے دروازہ بند کر دیا۔
i had nowhere to hide,میرے پاس چھپنے کی جگہ نہیں تھی۔,مجھے کوئی جگہ چھپانے کی نہیں تھی
is this a riddle,کیا یہ ایک پہیلی ہے,کیا یہ ایک پہیلی ہے؟
zain did do it,زین نے کیا,زین نے کیا
he bought a thimble,اس نے ایک تھمبل خریدا,اس نے ایک ڈھیلا خریدی۔
why are we hiding,ہم کیوں چھپ رہے ہیں,ہم کیوں چھپے ہیں
zain is stalking me,زین میرا پیچھا کر رہا ہے,زین مجھے پکڑ رہا ہے۔
zain is dozing,زین سو رہا ہے,زین سو رہا ہے
you can come with us,آپ ہمارے ساتھ آ سکتے ہیں۔,آپ ہمارے ساتھ آ سکتے ہیں۔
its bad for you,یہ آپ کے لئے برا ہے,یہ آپ کے لئے برا ہے
it was kind of funny,یہ ایک قسم کا مضحکہ خیز تھا۔,یہ ایک طرح مضحکہ خیز تھا
i hope zain comes,مجھے امید ہے کہ زین آئے گا,مجھے امید ہے کہ زین آئے گا۔
your feet are dirty,آپ کے پاؤں گندے ہیں,آپ کے پاؤں گندے ہیں
i will tell him that,میں اسے بتاؤں گا,میں اسے بتاؤں گا کہ
they ruined my life,انہوں نے میری زندگی برباد کر دی,انہوں نے میری زندگی برباد کر دی
i am zains stepbrother,میں زین کا سوتیلا بھائی ہوں۔,میں زین کا سوتیلا بھائی ہوں۔
i am against the war,میں جنگ کے خلاف ہوں۔,میں جنگ کے خلاف ہوں
people like my mom,لوگ میری ماں کی طرح,میرے ماں کی طرح لوگ
we believe in god,ہم خدا پر یقین رکھتے ہیں,ہم خدا پر یقین رکھتے ہیں
i was at work,میں کام پر تھا,میں کام پر تھا
she isnt married,وہ شادی شدہ نہیں ہے,وہ شادی شدہ نہیں ہے
turn off the radio,ریڈیو بند کرو,ریڈیو بند کریں
he left the room,اس نے کمرے کو چھوڑ دیا,اس نے کمرہ چھوڑ دیا
zain starved to death,زین بھوک سے مر گیا۔,زین بھوکا مر گیا
i just want your love,میں صرف آپ کی محبت چاہتے ہیں,میں صرف آپ کی محبت چاہتا ہوں
i used my imagination,میں نے اپنی تخیل کا استعمال کیا۔,میں نے اپنے تخیل کا استعمال کیا۔
she has a cold,وہ ایک زکام ہے,اسے زکام ہے
i am ready to go,میں جانے کے لیے تیار ہوں۔,میں جانے کے لیے تیار ہوں۔
is your dog mean,کیا آپ کا کتا مطلب ہے؟,کیا آپ کا کتا مطلب ہے؟
did zain say where,زین نے کہا کہاں؟,زین نے کہا کہاں؟
watch your step,اپنا قدم دیکھیں,اپنا قدم دیکھو
thank you my dear,شکریہ میرے دوست,میرے عزیزوں کا شکریہ
zain is unmerciful,زین بے رحم ہے,زین بے رحم ہے
zain got in the car,زین گاڑی میں بیٹھ گیا,زین گاڑی میں بیٹھ گیا۔
we play tennis every morning,ہم ہر صبح ٹینس کھیلتے ہیں,ہم ہر صبح ٹینس کھیلتے ہیں
a leaf is falling,ایک پتی گر رہا ہے,ایک چمچ گر رہا ہے
zains my friend,زینز میرے دوست,زین میرے دوست
i don’t want,میں نہیں چاہتا,میں نہیں چاہتا
i will wait,میں انتظار کروں گا,میں انتظار کروں گا
its cloudy,یہ آسمان ابر آلود ہے,اس کا ابر آلود
he needs an umbrella,اسے چھتری کی ضرورت ہے۔,اسے چھتری کی ضرورت ہے۔
would you like an appetizer,کیا آپ ایک بھوک پسند کریں گے,کیا آپ ایک ایپٹیزر پسند کریں گے؟
let me be,مجھے رہنے دو,مجھے رہنے دو
it is a brand new product,یہ ایک بالکل نیا پڑوڈکٹ ہے۔,یہ ایک بالکل نیا محصوالت ہے
could you repeat that,کیا آپ دوبارا یہ بتا سکتے ہیں,کیا آپ اسے دہرا سکتے ہیں؟
the waves are high,لہریں بلند ہیں,دہریاں زیادہ ہیں
i have been to india,میں انڈیا گیا ہوں۔,میں ہندوستان گیا ہوں۔
its your bedtime,یہ آپ کے سونے کا وقت ہے,یہ آپ کے سونے کا وقت ہے۔
wholl fight,پوری لڑائی,مکمل لڑائی
do you remember us,کیا آپ ہمیں یاد کرتے ہیں,آپ کو ہم یاد کرتے ہیں
is zain adopted,زین کو اختیار کیا جاتا ہے,زین کو اختیار کیا گیا ہے۔
were classmates,ہم جماعت تھے,ہم جماعت کے ساتھی تھے۔
we need each other,ہمیں ایک دوسرے کی ضرورت ہے,ہمیں ایک دوسرے کی ضرورت ہے
he dislikes me,وہ مجھے ناپسند کرتا ہے,وہ مجھے ناپسند کرتا ہے
he grabbed my arm,اس نے میرا بازو پکڑ لیا,اس نے میرا بازو پکڑ لیا
she drives me crazy,وہ مجھے پاگل کر دیتی ہے,وہ مجھے پاگل کر دیتی ہے
i like short poems,مجھے مختصر نظمیں پسند ہیں۔,مجھے مختصر نظمیں پسند ہیں
he is up to no good,وہ کوئی اچھا نہیں ہے,وہ کچھ اچھا نہیں ہے
zain travels a lot,زین بہت سفر کرتا ہے۔,زین بہت سفر کرتا ہے۔
zain was mad,زین پاگل تھا,زین پاگل تھا
zain tripped,زین پھنس گیا,زین نے ٹپس ماری
my jaw is sore,میرا جبڑا درد ہے,میرا جبڑے دردناک ہے
i didnt know tom,میں ٹام کو نہیں جانتا تھا۔,میں ٹام کو نہیں جانتا تھا۔
you used to like me,تم مجھے پسند کرتے تھے,تم مجھے پسند کرتے تھے
it will soon be dark,جلد ہی اندھیرا ہو جائے گا,اندھیرا جلد ہی ہو جائے گا
he gave him a book,اس نے اسے ایک کتاب دی,اس نے اسے ایک کتاب دی
is that suitable,کیا یہ مناسب ہے؟,کیا یہ موزوں ہے؟
the towel is wet,تولیہ گیلا ہے,تولیہ گیلا ہے
be polite but firm,شائستہ لیکن مضبوط ہو,شائستہ لیکن مضبوط بنو
they were attacked,ان پر حملہ کیا گیا,انہوں نے حملے کیے گئے
do you like my friend,کیا آپ میرے دوست کو پسند کرتے ہیں؟,کیا آپ کو میرا دوست پسند ہے؟
i didnt lie to tom,میں نے ٹام سے جھوٹ نہیں بولا۔,میں نے ٹام سے جھوٹ نہیں بولا۔
zain found that,زین نے پایا,زین نے پایا کہ
shes still young,وہ اب بھی جوان ہے,وہ اب بھی جوان ہے
i am not a crook,میں بدمعاش نہیں ہوں۔,میں crook نہیں ہوں۔
were honeymooning,ہنی مون منا رہے تھے,شہد مونڈ رہے تھے۔
he likes indian food,اسے ہندوستانی کھانا پسند ہے۔,وہ ہندوستانی کھانا پسند کرتا ہے
take cover,اوڑھ لو,احاطہ کریں
do you have a minute,کیا آپ کے پاس ایک منٹ ہے,کیا آپ کے پاس ایک منٹ ہے؟
how far is the market from here,بازار یہاں سے کتنی دور ہے,مارکیٹ یہاں سے کتنی دور ہے
i like china,مجھے چین پسند ہے۔,مجھے چین پسند ہے۔
i am cleaning my room,میں اپنا کمرہ صاف کر رہا ہوں۔,میں اپنا کمرہ صاف کر رہا ہوں۔
i owe her yen,میں نے اس کے ین واجب الادا,میں اس کا ین کا مقروض ہوں۔
dont make me mad,مجھے پاگل نہ بنائیں,مجھے پاگل مت کرو
i think i am right,مجھے لگتا ہے کہ میں صحیح ہوں,مجھے لگتا ہے کہ میں صحیح ہوں۔
women dont like me,خواتین مجھے پسند نہیں کرتیں۔,خواتین مجھے پسند نہیں کرتے
she was found guilty,وہ مجرم پائی گئی,اسے قصوروار ٹھہرایا گیا
our plan has worked,ہمارا منصوبہ کام کر چکا ہے۔,ہمارا منصوبہ کام کر گیا ہے
come on,چلو بھئی,چلو
they are good people,وہ اچھے لوگ ہیں,وہ اچھے لوگ ہیں
where would zain go,زین کہاں جائے گا,زین کہاں جائے گا
come back in,واپس آو,اندر واپس آو
he went to school,وہ اسکول گیا,وہ سکول گیا
we need your help,ہمیں آپ کی مدد کی ضرورت کیوں ہے؟,ہمیں آپ کی مدد کی ضرورت ہے۔
dont let him whistle,اسے سیٹی بجانے نہ دیں۔,اسے سیٹی نہ بجانے دو
i know her very well,میں اسے اچھی طرح جانتا ہوں۔,میں اسے اچھی طرح جانتا ہوں۔
i hate children,مجھے بچوں سے نفرت ہے۔,میں بچوں سے نفرت کرتا ہوں
i hate that so much,مجھے اس سے بہت نفرت ہے۔,مجھے اس سے بہت نفرت ہے
i eat fruit,میں پھل کھاتا ہوں,میں پھل کھاتا ہوں
how come you are late,آپ کو دیر سے کیسے آئے,آپ کو دیر کیوں ہوئی
they wont find it,وہ اسے تلاش نہیں کریں گے,وہ اسے تلاش نہیں کریں گے
she has gone out,وہ باہر چلا گیا ہے,وہ باہر چلا گیا ہے
be careful,محتاط رہیں۔,محتاط رہیں۔
you are moody,آپ مزاج ہیں,آپ moody ہیں
i know it myself,میں خود یہ جانتا ہوں,میں اسے خود جانتا ہوں۔
my friend was shot,میرے دوست کو گولی مار دی گئی,میرے دوست کو گولی مار دی گئی
i will be right there,میں وہیں رہوں گا۔,میں وہیں ہوں گے
he did a cartwheel,اس نے ایک کارٹ وہیل کیا,اس نے کارٹ ویل کی
its early,اس کی ابتدائی,اس کی ابتدائی
shes a big teaser,وہ ایک بڑا ٹیزر ہے۔,وہ ایک بڑی ٹیزر ہے
what are you up to,آپ کیا کر رھے ھیں,تم کیا کر رہے ہو
i honestly never knew you could do that,میں ایمانداری سے کبھی نہیں جانتا تھا کہ آپ ایسا کر سکتے ہیں۔,میں ایمانداری سے کبھی نہیں جانتا تھا کہ آپ ایسا کر سکتے ہیں
dont laugh at him,اس پر ہنسنا نہیں,اس پر ہنسنا نہیں
it goes both ways,یہ دونوں طرف سے جاتا ہے,یہ دونوں طرف سے جاتا ہے
zain is untalented,زین غیر باصلاحیت ہے,زین بے صلاحیت ہے
fill it up please,براہ مہربانی اسے بھریں,براہ مہربانی اسے بھریں
wheres my towel,میرا تولیہ کہاں ہے,میرا تولیہ کہاں ہے
don’t write anything on your books,اپنی کتابوں پر کچھ نہ لکھیں۔,اپنی کتابوں پر کچھ نہ لکھیں
i have got a pacemaker,مجھے پیس میکر مل گیا ہے,میرے پاس پیس میکر ہے۔
zain knew something,زین کو کچھ معلوم تھا۔,زین کو کچھ معلوم تھا۔
it did not take long before i was come back home again,مجھے دوبارہ گھر واپس آنے میں زیادہ دیر نہیں لگی,مجھے زیادہ وقت نہیں لگے میں دوبارہ گھر واپس آؤں۔
you know the drill,آپ ڈرل جانتے ہیں,آپ ڈرل جانتے ہیں۔
i anticipated that,میں نے اس کی توقع کی,میں نے اس کی توقع کی تھی
are these yours,کیا یہ آپ کے ہیں؟,کیا یہ تمہارا ہے
i must warn him,مجھے اسے خبردار کرنا چاہیے۔,مجھے اسے خبردار کرنا چاہئے
i cant believe that,میں اس پر یقین نہیں کر سکتا,میں اس پر یقین نہیں کر سکتا
she had no one to turn to,اس کے پاس کوئی بھی نہیں تھا جس کے پاس وہ جاتی۔,اس کے پاس کسی کے پاس مڑنے کے لئے نہیں تھا
where is my dad,میرے والد کہاں ہیں؟,میرے والد کہاں ہیں
she watched him eat,اس نے اسے کھاتے دیکھا,اس نے اسے کھاتے دیکھا
i am no quitter,میں چھوڑنے والا نہیں ہوں۔,میں کوئی ترک نہیں ہوں
take a purgative,ایک علاج لے لو,ایک پاکی لے لو
no one could see us,ہمیں کوئی نہیں دیکھ سکتا تھا۔,کوئی ہمیں نہیں دیکھ سکتا تھا
i need some coffee,مجھے کافی چاہیے,مجھے کافی کی ضرورت ہے۔
i have just been mugged,مجھے ابھی چھین لیا گیا ہے۔,مجھے ابھی گھیر لیا گیا ہے۔
he deceived me,اس نے مجھے دھوکہ دیا,اس نے مجھے دھوکہ دیا
i will pick him up at,میں اسے اٹھاؤں گا۔,میں اسے اٹھاؤں گا۔
they are russian,وہ روسی ہیں,وہ روسی ہیں
he seems tired,وہ تھکا ہوا لگتا ہے,وہ تھکا ہوا لگتا ہے
play it cool,اسے ٹھنڈا کھیلیں,اسے ٹھنڈی کھیلنا
i think highly of him,میں اس کے بارے میں بہت زیادہ سوچتا ہوں,میں اس کی بہت تعریف کرتا ہوں۔
we were all tired,ہم سب تھک چکے تھے,ہم سب تھکے ہوئے تھے
we will move in,ہم اندر جائیں گے,ہم اندر جائیں گے
what is it now tom,اب یہ ٹام کیا ہے,اب یہ کیا ہے ٹام
we need to talk,ہمیں بات کرنے کی ضرورت ہے,ہمیں بات کرنے کی ضرورت ہے
i beg your pardon,میں آپ سے معافی مانگتا ہوں,میں آپ کی معافی چاہتا ہوں۔
you smell so nice,آپ کو بہت اچھی بو آتی ہے,آپ کو بہت اچھی بو آ رہی ہے۔
choose one person,ایک شخص کا انتخاب کریں,ایک شخص کو منتخب کریں
i am nervous now,میں اب نروس ہوں,میں اب نروس ہوں
zain moved quickly,زین تیزی سے آگے بڑھا,زین تیزی سے منتقل ہوا
this is my bicycle,یہ میری سائیکل ہے۔,یہ میری سائیکل ہے
what did zain take,زین نے کیا لیا,زین نے کیا لیا
mary slapped tom,مریم نے ٹام کو تھپڑ مارا۔,مریم نے ٹام کو تھپڑ مارا۔
i did nothing,میں نے کچھ نہیں کیا,میں نے کچھ نہیں کیا
carry this,یہ لے جاؤ,اسے لے جاؤ
she looks very young,وہ کافی جوان دکھ رہی ہے۔,وہ بہت چھوٹی لگ رہی ہے
she practices the piano every day,وہ پیانو کی روذ مشق کرتی ہے۔,وہ ہر روز پیانو کی مشق کرتی ہے۔
i talked to friends,میں نے دوستوں سے بات کی۔,میں نے دوستوں سے بات کی
nobody calls me that,مجھے کوئی نہیں کہتا,مجھے کوئی بھی ایسا نہیں کہتا
its time to wake up,جاگنے کا وقت ہے,اٹھنے کا وقت ہے
i hope he will come,مجھے امید ہے کہ وہ آئے گا۔,مجھے امید ہے کہ وہ آئے گا
who is absent today,جو آج غائب ہے۔,جو آج غائب ہے
are you tired,کیا تم تھکے ہوئے ہو,کیا آپ تھکے ہوئے ہیں
where is my comb,میری کنگھی کہاں ہے,میری کنگھی کہاں ہے؟
do you have any pets,کیا تمہارے پاس کوئی پالتو جانور ہے,کیا آپ کے پاس کوئی پالتو جانور ہے
she won the lottery,اس نے لاٹری جیت لی,اس نے لاٹری جیت لی
i will have the soup as a starter,میں سٹارٹر کے طور پر سوپ لوں گا۔,میں سوپ ایک اسٹارٹر کے طور پر لوں گا
he lives there alone,وہ وہاں اکیلا رہتا ہے,وہ وہاں اکیلا رہتا ہے۔
forget about that,اس کے بارے میں بھول جاؤ,اس کے بارے میں بھول جاؤ
zain never laughs,زین کبھی نہیں ہنستا,زین کبھی ہنستا نہیں ہے
do you speak french,کیا تم فرانسیسی بولتے ہو,کیا آپ فرانسیسی بولتے ہیں؟
zain killed mary,زین نے مریم کو قتل کیا۔,زین نے مریم کو مارا۔
try to open this door,اس دروازے کو کھولنے کی کوشش کریں۔,اس دروازے کو کھولنے کی کوشش کریں
zain left after me,زین میرے پیچھے چلا گیا,زین میرے بعد چلا گیا۔
i hate to eat alone,مجھے اکیلے کھانے سے نفرت ہے,مجھے اکیلے کھانا پسند نہیں ہے۔
i was shy,میں شرمیلا تھا,میں شرمیلا تھا
i cant hide forever,میں ہمیشہ کے لیے چھپا نہیں سکتا,میں ہمیشہ کے لئے چھپا نہیں سکتا
i already regret it,مجھے پہلے ہی اس پر افسوس ہے۔,میں نے پہلے ہی اس پر افسوس کیا۔
zain sounds worried,زین پریشان لگ رہا ہے,زین فکرمند لگتا ہے۔
zain is powerless,زین بے اختیار ہے,زین بے اختیار ہے
does it hurt here,کیا یہاں تکلیف ہوتی ہے,کیا یہ یہاں تکلیف دیتا ہے
he is about my size,وہ میرے سائز کے بارے میں ہے۔,وہ میرے سائز کے بارے میں ہے
were students,طالب علم تھے,طالب علم تھے
i am here to help,میں مدد کرنے کے لیے حاضر ہوں۔,میں یہاں مدد کرنے کے لیے ہوں۔
that question is easy to answer,اس سوال کا جواب بہت آسان ہے۔,اس سوال کا جواب دینا آسان ہے
here is your key,یہاں آپ کی چابی ہے,یہاں آپ کی چابی ہے
lets do it,آئیں کرتے ہیں!,آئیں کرتے ہیں!
the car wont start,کار شروع نہیں ہوگی,کار اسٹارٹ نہیں ہوگی۔
marys my niece,میری بھانجی کی شادی,میری بھانجی میری بھانجی
let the boy go,لڑکے کو جانے دو,لڑکے کو جانے دو
i have got the keys,میرے پاس چابیاں ہیں,مجھے چابیاں مل گئی ہیں۔
zain is not a liar,زین جھوٹا نہیں ہے۔,زین جھوٹا نہیں ہے۔
i can do it now,میں اب کر سکتا ہوں۔,میں اب یہ کر سکتا ہوں
which is your bag,آپ کا بیگ کون سا ہے؟,جو آپ کا بیگ ہے
the girl is jumping,لڑکی کود رہی ہے,لڑکی چھلانگ لگا رہی ہے
were doctors,ڈاکٹر تھے,ڈاکٹر تھے
is that sweet,وہ میٹھا ہے,یہ میٹھا ہے؟
